good_category,category,count
소주,주류,60044
직원호출 메뉴,기타,58838
음료,음료,32448
맥주,주류,30440
주류,주류,17586
사이드,사이드,12215
식사류,식사,10034
생맥주&병맥주,주류,9529
안주류,안주,8339
메인메뉴,식사,6747
고기류,고기,6446
마른안주,안주,6271
소주&맥주,주류,6033
튀김류,튀김,5295
튀김,튀김,4924
탕,탕,4591
식사,식사,3985
사이드메뉴,사이드,3790
면류,면,3581
돈카츠,돈까스,3387
추가메뉴,사이드,3266
생맥주,주류,3161
소바,면,3139
대표메뉴,식사,3119
탕류,탕,3076
메뉴숨기기,기타,3048
일반 사이드 : 고기류 주문시에 추가 주문 가능,사이드,2837
하이볼,주류,2776
메뉴,기타,2496
과일,안주,2349
파스타,면,2217
돈까스,돈까스,2097
점심 특선(11:00 ~ 14:00 까지),식사,1981
세트메뉴,식사,1940
메인,식사,1842
추가,사이드,1655
신메뉴,식사,1651
요리,식사,1596
서비스요청,기타,1588
고기메뉴,고기,1573
음료수,음료,1552
Steamed Dim Sum,식사,1539
전,안주,1484
지존짬뽕,면,1454
카레,식사,1440
특별메뉴,식사,1403
인기메뉴,식사,1393
피자,피자,1373
밥류,식사,1369
칵테일,주류,1340
우동,면,1339
돼지고기,고기,1318
후식,후식,1284
단품 초밥,식사,1237
꼬치류,안주,1175
식사메뉴,식사,1170
(한마리)누룽지통닭,치킨,1069
요리류,식사,1058
1pcs,식사,1041
별미,식사,990
덮밥,식사,985
치킨,치킨,974
구이류,안주,960
떡볶이,식사,943
카츠류,돈까스,937
반반세트,식사,915
순대국밥,식사,890
점심특선(11:00 ~ 14:00 까지),식사,887
딤섬,식사,882
단품,식사,877
(반마리)누룽지통닭,치킨,832
곁들임,사이드,808
탕메뉴,탕,803
술,주류,790
면,면,782
꼬치,안주,776
Noodles,면,773
소주&맥주|Best주류,주류,764
일품요리,식사,759
볶음류,식사,742
튀김메뉴,튀김,733
병맥주,주류,728
고기리필,고기,709
카레라이스,식사,708
냉면,면,690
국수류,면,668
점심특선,식사,666
무한리필,식사,665
음료류,음료,661
후식메뉴,후식,649
과일&빙수류,후식,646
안주,안주,638
전골,탕,623
나베,탕,619
소주|전,주류,617
안주류|메뉴숨기기,안주,616
Craft Beer,주류,598
탕수육,튀김,597
볶음메뉴,식사,588
고기,고기,584
